case,result,max_abs_diff,note
1 numeric array (mahalFS),PASS,0.000000e+00,matlab.double -> ndarray
2 struct -> dict (Score),PASS,2.472689e-12,"struct -> dict, out['Score']"
3 nested struct of arrays,PASS,0.000000e+00,dict of dict of ndarrays
4 char scalar + struct (FSR),PASS,0.000000e+00,out['class']='FSR'; mdr tail vs gold
+ routine-agnostic (FSRaddt),PASS,0.000000e+00,out['Tdel'] tail vs gold
5 table -> dict,PASS,0.000000e+00,VariableNames + data + RowNames
6 real table fn (univariatems),PASS,0.000000e+00,"structural: Tsel -> dict, 8 cols x 3 rows"
7 multivariate (corrNominal),PASS,0.000000e+00,"chi2=4.6875, CramerV=0.0722 vs numpy oracle"
8 FSM (multivariate FS),PASS,0.000000e+00,mmd tail vs gold
9 mcd (nargout=2 tuple),PASS,0.000000e+00,"RAW.class='mcd', REW.class='mcdr', cov(3, 3)"
